Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.762934, 0.036673, 50, 100, 100, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Tue Aug 20 23:36:45 2024
Comments: 2D 





Ascii values of u and v follow
0.51962 0.0834732
0.573211 0.0875467
0.701711 0.0998396
0.83412 0.119976
0.922438 0.146451
0.966842 0.176888
0.986119 0.209007
0.994092 0.241276
0.997401 0.272856
0.998811 0.303382
0.999432 0.332711
0.999717 0.360805
0.999852 0.387692
0.999916 0.413404
0.999942 0.437993
0.999933 0.4615
0.999865 0.483979
0.999653 0.505461
0.999058 0.525988
0.997438 0.545558
0.993062 0.56413
0.981312 0.581497
0.95041 0.597118
0.874726 0.609712
0.718909 0.617054
0.484078 0.616673
0.251616 0.607623
0.103454 0.591443
0.0372206 0.571158
0.0129173 0.549421
0.00454053 0.527708
0.00162709 0.506598
0 0.486259
0 0.466745
0 0.448051
0 0.430162
0 0.413028
0 0.396609
0 0.380891
0 0.365828
0 0.351404
0 0.337587
0 0.32434
0 0.311654
0 0.299497
0 0.28784
0 0.276672
0 0.265967
0 0.255701
0 0.245863
0 0.236429
0 0.227379
0 0.218707
0 0.210388
0 0.202409
0 0.194751
0 0.187409
0 0.180366
0 0.173607
0 0.167117
0 0.160894
0 0.154921
0 0.149187
0 0.143683
0 0.138399
0 0.133324
0 0.128453
0 0.123776
0 0.119284
0 0.114969
0 0.110825
0 0.106843
0 0.103018
0 0.0993422
0 0.0958103
0 0.0924161
0 0.0891538
0 0.0860181
0 0.0830036
0.00220873 0.0801705
0.00492065 0.0775322
0.0098132 0.0751489
0.0189597 0.0731356
0.0367302 0.071724
0.0721837 0.0713767
0.142677 0.0729557
0.271847 0.0778525
0.465597 0.0876795
0.67852 0.103401
0.841706 0.124489
0.932085 0.149175
0.972378 0.17547
0.988717 0.201983
0.995248 0.228007
0.997917 0.253275
0.999048 0.277693
0.999546 0.301243
0.999775 0.323934
0.999884 0.345803
0.999937 0.366876
0.999964 0.387179
0.999977 0.406736
0.99998 0.425588
0.999975 0.443756
0.999954 0.461261
0.999907 0.478139
0.999803 0.494406
0.999588 0.510079
0.999152 0.525183
0.998287 0.539718
0.996596 0.553692
0.993338 0.567074
0.987108 0.579812
0.975188 0.591778
0.952168 0.602717
0.907304 0.612161
0.821671 0.619259
0.674073 0.622766
0.470025 0.621419
0.26571 0.61472
0.122797 0.603449
0.0496529 0.589239
0.0190357 0.573714
0.00727773 0.557909
0.00283233 0.542321
0.0010841 0.52714
0 0.512413
0 0.49816
0 0.484395
0 0.471082
0 0.458225
0 0.445797
0 0.433774
0 0.422158
0 0.410927
0 0.400065
0 0.389552
0 0.379391
0 0.369561
0 0.360053
0 0.350845
0 0.341943
0 0.333328
0 0.32499
0 0.316918
0 0.309104
0 0.301534
0 0.294211
0 0.287119
0 0.280252
0 0.273602
0 0.26716
0 0.26092
0 0.254874
0 0.249018
0 0.243343
0 0.237843
0 0.232514
0 0.227347
0 0.222341
0 0.217493
0 0.212787
0 0.208226
0 0.203803
0 0.199513
0 0.195354
0 0.191324
0 0.187411
0 0.183617
0 0.179936
0 0.176369
0 0.172905
